date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:30	53964/53964	---M-Z	200	added ('OK')	text/html	etag:%2234204bf-d2cc-591e11bc41dd0-gzip%22	http://themesboss.com/pioted/solid_9.html	C:/My%20Websites/sample02/themesboss.com/pioted/solid_9.html	(from )
17:28:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jun%202021%2009:28:32%20GMT	http://themesboss.com/robots.txt		(from )
17:28:32	140936/140936	---M--	200	added ('OK')	text/css	etag:%2234204ce-22688-591e11c04f796%22	http://themesboss.com/pioted/css/bootstrap.min.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/bootstrap.min.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:33	93420/93420	---M--	200	added ('OK')	text/css	etag:%2234204d0-16cec-591e11c0cb02c%22	http://themesboss.com/pioted/css/materialdesignicons.min.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/materialdesignicons.min.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:34	7623/7623	---M--	200	added ('OK')	text/css	etag:%2234204d1-1dc7-591e11c09f4f2%22	http://themesboss.com/pioted/css/mobiriseicons.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/mobiriseicons.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:34	7782/7782	---M--	200	added ('OK')	text/css	etag:%2234204cf-1e66-591e11c039034%22	http://themesboss.com/pioted/css/magnific-popup.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/magnific-popup.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:36	56048/56048	---M--	200	added ('OK')	text/css	etag:%2234204cd-daf0-591e11bfe92d8%22	http://themesboss.com/pioted/css/animate.min.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/animate.min.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:37	1397/1397	---M--	200	added ('OK')	text/css	etag:%2234204d2-575-591e11c0fb986%22	http://themesboss.com/pioted/css/owl.carousel.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/owl.carousel.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:37	1665/1665	---M--	200	added ('OK')	text/css	etag:%2234204d3-681-591e11c118e48%22	http://themesboss.com/pioted/css/owl.theme.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/owl.theme.css	(from http://themesboss.com/pioted/solid_9.html)
17:28:38	4476/4476	---M--	200	added ('OK')	text/css	etag:%2234204d4-117c-591e11c16e964%22	http://themesboss.com/pioted/css/owl.transitions.css	C:/My%20Websites/sample02/themesboss.com/pioted/css/owl.transitions.css	(from http://themesboss.com/pioted/solid_9.html)
